,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.0,10.0,7.0,10.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.0,5.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.0,6.0,8.0,8.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,7.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,203.9,208.5,146.3,143.2,90.6,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.004743671417236,5.985083270072937,13.12428593635559,13.16185097694397,35.91716964244843,35.97551970481872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,200.0,197.0,207.0,210.0,218.0,200.0,216.0,198.0,197.0,196.0,219.0,205.0,224.0,203.0,219.0,192.0,207.0,207.0,198.0,211.0,142.0,147.0,159.0,157.0,146.0,137.0,138.0,145.0,153.0,139.0,147.0,139.0,139.0,156.0,136.0,140.0,143.0,135.0,142.0,155.0,70.0,86.0,111.0,93.0,83.0,96.0,83.0,105.0,89.0,90.0,88.0,82.0,85.0,83.0,97.0,84.0,84.0,78.0,112.0,90.0
9,6.087131023406982,5.979793310165405,5.939075231552124,5.969152927398682,5.965452432632446,6.264007091522217,5.986927270889282,6.115998268127441,5.861543416976929,5.878331661224365,5.871599912643433,5.928173542022705,5.911352872848511,5.951783895492554,5.8910744190216064,5.82943058013916,5.920196771621704,5.918272495269775,6.39078164100647,6.2381432056427,13.904765844345093,13.01826024055481,12.928354501724243,12.915313005447388,13.164638996124268,12.879101514816284,13.01569676399231,13.330166101455688,12.941705465316772,13.144829273223877,12.715413093566895,13.53029203414917,13.005381345748901,12.981868982315063,13.282368421554565,13.157337427139282,13.456952095031738,13.17121171951294,13.081992864608765,13.2356595993042,36.02723741531372,35.85272288322449,36.13521862030029,36.596484899520874,35.507745027542114,35.80102252960205,36.370314836502075,35.34150218963623,35.96147584915161,35.57794380187988,35.508657455444336,36.064366817474365,36.10333442687988,36.02694869041443,36.14655065536499,36.01294016838074,35.94032621383667,35.3066942691803,35.63731908798218,37.00803184509277
