,colors,models,lanes,lane length,filling,color change,times
0,14,7,5,6,7,476.8190000000001,5656.533302783966
1,14,10,5,6,7,498.087,5676.470825910568
2,14,7,7,8,6,372.07000000000005,12746.004658699036
3,14,10,7,8,6,378.8040000000001,12775.895300865173
4,14,7,10,10,6,307.40399999999994,35137.63969159126
5,14,10,10,10,6,313.26800000000003,35456.545038461685
