,colors,models,lanes,lane length,filling,color change,times
0,14,7,5,6,7,1582.7,5588.355639457703
1,14,10,5,6,7,1691.0,5753.464129924774
2,14,7,7,8,6,1118.5,12560.536785364151
3,14,10,7,8,6,1189.0,12560.287512302399
4,14,7,10,10,6,1085.5,35466.62736034393
5,14,10,10,10,6,1075.4,35094.95693588257
