,colors,models,lanes,lane length,filling,color change
0,10,5,5,6,7,226.30917477607727
1,20,10,5,6,7,1170.9180850982666
2,10,5,7,8,6,347.2193241119385
3,20,10,7,8,6,1277.0431852340698
4,10,5,10,10,6,4595.2381727695465
5,20,10,10,10,6,2822.5965943336487
