,0,1,2,3,4,5,6,7,8,9
0,10.0,20.0,10.0,20.0,10.0,20.0,,,,
1,5.0,10.0,5.0,10.0,5.0,10.0,,,,
2,5.0,5.0,7.0,7.0,10.0,10.0,,,,
3,6.0,6.0,8.0,8.0,10.0,10.0,,,,
4,7.0,7.0,6.0,6.0,6.0,6.0,,,,
5,208.1,,,,,,,,,
6,0.48684167861938477,,,,,,,,,
7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8,211.0,203.0,214.0,184.0,195.0,248.0,208.0,194.0,203.0,221.0
9,0.49402499198913574,0.48487424850463867,0.4902915954589844,0.4890573024749756,0.488039493560791,0.47820234298706055,0.47771716117858887,0.4854612350463867,0.49550580978393555,0.48522090911865234
