,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,10.0,5.0,10.0,5.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.0,20.0,10.0,20.0,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.0,5.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.0,6.0,8.0,8.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,7.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,301.9,138.7,208.1,72.3,133.2,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,80.98867163658142,84.02269985675812,120.52230212688445,115.2218985080719,998.5968033313751,355.8674038410187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,315.0,298.0,293.0,302.0,300.0,298.0,309.0,306.0,301.0,297.0,145.0,140.0,139.0,140.0,138.0,134.0,139.0,132.0,135.0,145.0,206.0,212.0,213.0,199.0,214.0,210.0,193.0,210.0,211.0,213.0,73.0,65.0,76.0,72.0,78.0,71.0,78.0,72.0,68.0,70.0,141.0,133.0,130.0,141.0,131.0,133.0,134.0,131.0,130.0,128.0,48.0,52.0,45.0,50.0,51.0,53.0,52.0,44.0,44.0,54.0
9,87.7797179222107,82.22599649429321,68.32598614692688,90.1620123386383,80.18300676345825,77.42397260665894,83.76400232315063,75.98401689529419,82.32900214195251,81.70900273323059,78.29499316215515,81.4420096874237,74.59298825263977,77.62899947166443,97.33100390434265,74.73099970817566,89.7690052986145,82.49999403953552,92.89601802825928,91.04098701477051,130.3049976825714,113.01500225067139,138.52701902389526,121.34197664260864,109.97102093696594,103.61602067947388,119.03500008583069,119.56097984313965,130.17300415039062,119.67799997329712,111.12197995185852,107.20899748802185,103.68500566482544,111.95299911499023,112.23101687431335,123.82700514793396,116.9919764995575,140.57900619506836,123.38399815559387,101.23699998855591,1143.807016134262,1160.28701877594,909.3910014629364,1137.7379972934723,980.7990012168884,804.1349997520447,955.6879827976227,945.5019989013672,947.2459998130798,1001.3750171661377,334.0249996185303,551.4770228862762,253.18799829483032,290.9680018424988,376.84898352622986,434.67101550102234,352.9330174922943,278.6739981174469,288.9369831085205,396.95201802253723
