,0,1,2,3,4,5,6,7,8,9
0,10.0,5.0,10.0,5.0,10.0,5.0,,,,
1,10.0,20.0,10.0,20.0,10.0,20.0,,,,
2,5.0,5.0,7.0,7.0,10.0,10.0,,,,
3,6.0,6.0,8.0,8.0,10.0,10.0,,,,
4,7.0,7.0,6.0,6.0,6.0,6.0,,,,
5,209.7,,,,,,,,,
6,11.025055503845214,,,,,,,,,
7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8,202.0,218.0,216.0,209.0,187.0,209.0,203.0,229.0,222.0,202.0
9,11.197052001953125,11.38372254371643,11.017495393753052,10.909955501556396,11.144001245498657,11.033942937850952,10.99429440498352,10.641956567764282,10.88800835609436,11.040126085281372
