,colors,models,lanes,lane length,filling,color change,times
0,14,7,5,6,7,915.7329999999998,3.7060437202453613
1,14,10,5,6,7,934.7209999999999,3.7460882663726807
2,14,7,7,8,6,627.038,5.4576005935668945
3,14,10,7,8,6,636.8870000000003,5.453066110610962
4,14,7,10,10,6,412.5720000000001,8.242034435272217
5,14,10,10,10,6,393.5,8.328489542007446
