,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.0,10.0,7.0,10.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.0,5.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.0,6.0,8.0,8.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,7.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,126.7,136.4,110.3,110.1,119.5,118.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,539.5803837060928,546.2805975914001,1164.672533249855,1181.0720925092696,1471.4623847007751,1641.5042580604554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,123.0,138.0,139.0,128.0,134.0,133.0,117.0,117.0,126.0,112.0,147.0,124.0,138.0,135.0,137.0,127.0,140.0,137.0,130.0,149.0,105.0,113.0,103.0,114.0,109.0,98.0,110.0,114.0,116.0,121.0,115.0,114.0,100.0,102.0,112.0,116.0,112.0,111.0,109.0,110.0,111.0,114.0,118.0,110.0,123.0,114.0,127.0,125.0,114.0,139.0,121.0,116.0,132.0,110.0,107.0,117.0,125.0,120.0,101.0,132.0
9,543.02707862854,540.9473195075989,538.9048891067505,545.0656988620758,533.9821078777313,538.876202583313,545.702623128891,535.6344611644745,536.3729040622711,537.2905342578888,552.9861280918121,540.0573308467865,542.2882311344147,554.1265246868134,535.4396755695343,555.7406730651855,531.9803597927094,552.6285226345062,556.1658084392548,541.3926906585693,1177.1384143829346,1191.2690489292145,1144.5742824077606,1128.6766920089722,1179.0737476348877,1173.9492552280426,1192.3651971817017,1169.464439868927,1153.4201531410217,1136.79407954216,1212.9291124343872,1173.6721866130829,1178.5990285873413,1183.1695852279663,1155.2180216312408,1143.9612078666687,1153.0147252082825,1176.5824184417725,1200.5117094516754,1233.0629043579102,1762.5632243156433,1337.9952311515808,1471.907431602478,1645.0129857063293,1497.6655588150024,1601.5273222923279,1373.4977631568909,1313.5481147766113,1349.7076516151428,1361.198541879654,1474.178458929062,1808.4582133293152,1465.488199710846,1715.0594594478607,1874.4538550376892,1692.0827701091766,1546.3489260673523,1840.26673579216,1631.3890171051025,1367.3169238567352
