,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.0,10.0,7.0,10.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.0,5.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.0,6.0,8.0,8.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,7.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,207.5,206.4,150.0,142.2,89.0,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5.552663111686707,5.548848032951355,12.182759332656861,12.144671201705933,33.35070571899414,33.431207823753354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,206.0,208.0,185.0,223.0,187.0,222.0,200.0,220.0,205.0,219.0,216.0,213.0,220.0,192.0,190.0,217.0,194.0,198.0,209.0,215.0,164.0,165.0,147.0,140.0,144.0,142.0,147.0,146.0,149.0,156.0,151.0,132.0,156.0,165.0,136.0,133.0,146.0,142.0,139.0,122.0,93.0,82.0,94.0,85.0,83.0,101.0,101.0,90.0,79.0,82.0,86.0,96.0,88.0,99.0,84.0,104.0,93.0,89.0,87.0,96.0
9,5.566133499145508,5.557391405105591,5.590595960617065,5.623401880264282,5.550186395645142,5.563359022140503,5.538115501403809,5.531832456588745,5.484326601028442,5.521266460418701,5.565613508224487,5.533418655395508,5.553869962692261,5.598431587219238,5.592696189880371,5.528576374053955,5.563775539398193,5.513506889343262,5.507742404937744,5.530825853347778,12.116339206695557,12.186248302459717,12.225266933441162,12.220279455184937,12.273774862289429,12.236767530441284,12.051734447479248,12.143752098083496,12.258418560028076,12.114976406097412,12.043989896774292,12.246227979660034,12.09952688217163,12.10922622680664,12.114331483840942,12.255156993865967,12.202820301055908,12.175462484359741,12.019737720489502,12.180209636688232,33.614036560058594,33.64971876144409,33.48554277420044,33.45106077194214,32.93274974822998,32.8857045173645,33.456151723861694,33.00725865364075,33.295875787734985,33.728933334350586,33.12890577316284,33.02551484107971,33.34139370918274,33.531761169433594,33.44771432876587,33.25399422645569,33.10462927818298,33.797441244125366,33.88111615180969,33.79958176612854
